timestamp,device_id,energy_production_kwh,energy_consumption_kwh,voltage_v,current_a
2026-05-21 08:00:00,DEV-001,12.5,3.2,220.1,5.6
2026-05-21 08:15:00,DEV-001,13.1,3.5,219.8,5.9
2026-05-21 08:30:00,DEV-001,11.8,3.0,220.3,5.4
2026-05-21 08:45:00,DEV-001,12.9,3.4,220.0,5.8
2026-05-21 09:00:00,DEV-001,14.2,3.8,219.5,6.4
2026-05-21 09:15:00,DEV-001,13.7,3.6,219.9,6.1
2026-05-21 09:30:00,DEV-001,10.5,2.8,220.4,4.9
2026-05-21 09:45:00,DEV-001,15.0,4.1,219.6,6.7
2026-05-21 10:00:00,DEV-002,8.2,2.1,220.2,3.8
2026-05-21 10:15:00,DEV-002,9.5,2.4,219.7,4.2
